Form Name,Form Header or Image File  ,Font Color,Execute After Data Record Deletion  
TSCopyForm,Copy Forms And Lists,,
TSDeleteForm,Delete Forms or Lists,,
TSDependentClasses,Dependent Classes,,
TSDetailedChanges,Detailed Changes,,
TSDiffForms,Differences on Forms,,
TSDiffOverview,Differences Overview,,
TSFormDiffs,,,
TSFormTransStToDoSearch,Translation/Revision Status To Do Search,,
TSItemValue,All Values,,
TSListAccesibleForms,List Accessible forms,,
TSListAccessibleForms,List Accessible forms,,
TSListButtonForms,List button forms,,
TSListClassesWithoutForms,List Classes Without Forms,,
TSListFormsInMenuTree,List of Forms IN Menu Tree,,
TSListFormsNotInMenuTree2,List of Forms NOT IN Menu Tree,,
TSListFormsToBeIgnored,List forms to be ignored,,
TSListNetManagerDiffs,List @net Manager Differences,,
TSNamespaceGlobalsSize,Registered Global Compare,,
TSRelatedClasses,Related Classes,,
TSTranslationCheckUI,Translation Check Tool,,
TSTranslationStatistics,Translation Statistics,,
VARADCALCSS,Update Safety Stock,,
VARADQUERYREPL,Run Replenishment Query,,
VARADQUERYSHOW,Show Query Results,,
VARTRKCompra,,,
VARTRKInventario,,,
VARTRKMenu,,,
VARTRKMoviment,,,
VARTRKPlanejamento,,,
VARTRKRecebimento,,,
VARTRKTransferencia,,,
WWW001D,Print Class Definition,,
WWW0042,Print Menu Outline,8 - black,
WWW00421,Create User Menu  ,,
WWW0042S,Print Tips for Training and Education   ,,
WWW0042S1,Create User Menu  ,,
WWW0042SP,Print Training Documents  ,,
WWW004S,Search for Forms,,
WWW0131,Change Company,,
WWW0131B,Change Site Location,,
WWW013GEB,Print Birthday List,,
WWW013L,Print Time List,,
WWW013LZEIT,Print Own Time List,,
WWW013MSG,Enter Instant Messages,,
WWW013Z,Time Registration,,
WWW013ZBM,Time Correction  ,,
WWW120NM,Forms Without Menus  ,,
